category,topic,prompt,region
Pre-Booking,Research & Comparison,Which airlines allow free cancellation?,en-US
Pre-Booking,Research & Comparison,What's the difference between Iberia basic economy and regular economy?,en-US
Pre-Booking,Baggage Policies & Fees,Which airlines allow free checked bags?,en-UK
Pre-Booking,Baggage Policies & Fees,What's the carry-on size limit for British Airways?,en-UK
Pre-Booking,Baggage Policies & Fees,How much does checked baggage cost for Lufthansa?,en-UK
Pre-Travel,Check-in & Boarding,When does online check-in open for United Airlines?,en-US
Pre-Travel,Check-in & Boarding,How do I get priority boarding on Delta?,en-US
Day of Travel,In-Flight Experience,What's the Wi-Fi cost on American Airlines?,en-US
Day of Travel,In-Flight Experience,Which airlines have the best in-flight entertainment?,en-US
Flight Disruption,Flight Status,What's the best app for real-time flight tracking?,en-US
Flight Disruption,Flight Status,What happens if I miss my Air France flight?,en-US
Flight Disruption,Flight Status,What compensation can I get for a delayed Lufthansa flight?,en-UK
Retention & Loyalty,Loyalty Programs,What's the best way to earn United MileagePlus miles?,en-US
Retention & Loyalty,Loyalty Programs,What's the best credit card for airline miles?,en-US
Post-Travel,Customer Service,How do I file a complaint after my British Airways flight?,en-US
